oblast,town,name,category,description,address
Львівська область,Львів,Західноукраїнський офіс Європейської Бізнес Асоціації,Об'єднання підприємців,"Офіс створено в березні 2004 року з метою підтримки компаній з іноземними інвестиціями, які працюють в західному регіоні України.<br />
На сьогодні Офіс охоплює Львівську, Івано-Франківську, Тернопільську та Закарпатську області. Офіс регулярно проводить загальні збори членів Асоціації та організовує різноманітні заходи для них.","м. Львів, вул. М. Вербицького, 3, офіс 2"
Одеська область,Одеса,Південний офіс Європейської Бізнес Асоціації ,Об'єднання підприємців,"Офіс Асоціації був заснований в листопаді 2004 року, згідно інтересу компаній, що працюють в Одеському регіоні, до діяльності Європейської Бізнес Асоціації.<br />
На сьогодні Офіс охоплює Одеську, Миколаївську та Херсонську області. Регулярно проводить загальні зустрічі, організовує тематичні та соціальні події.","м. Одеса, пров. Топольського, 4А, офіс 126"
Харківська область,Харків,Харківський офіс Європейської Бізнес Асоціації ,Об'єднання підприємців,"Харківський офіс Асоціації був створений у березні 2004 року. Діяльність офісу спрямована на створення сприятливих умов для ведення бізнесу та розвиток співпраці між компаніями-членами Асоціації.<br />
Представники – лідери українського ринку у сфері IT, сільського господарства, поліграфії, виробництва, фінансових послуг.","м. Харків, вул. Сумська, 49, 3 поверх"
Дніпропетровська область,Дніпро,Дніпровський офіс Європейської Бізнес Асоціації ,Об'єднання підприємців,"Дніпровський офіс Асоціації був заснований у вересні 2006 року, згідно інтересу компаній Асоціації, що працюють в Дніпровському регіоні.<br />
Діяльність офісу спрямована на створення сприятливих умов для ведення бізнесу в регіоні та розвиток співпраці між компаніями-членами Асоціації.","м. Дніпро, вул. Івана Акінфієва, 18, оф. Г211"
Івано-Франківська область,,Регіональний фонд підтримки підприємництва по Івано-Франківській області,Фонди підтримки підприємництва,"У рамках реалізації державної політики підтримки підприємництва на регіональному рівні РФПП по Івано-Франківській області спрямовує свою діяльність в наступних напрямках: <br />
І. Фінансово-кредитна та інвестиційна підтримка.<br />
ІІ. Діяльність Консультаційного центру Фонду.<br />
ІІІ. Формування інфраструктури підтримки підприємництва в області.<br />
","м. Івано-Франківськ, вул. Василіянок, 62А."
Запорізька область,Мелітополь,Бізнес-інкубатор в Таврійському державному агротехнологічний університеті імені Дмитра Моторного,"Коворкінги, інкубатори, акселератори","Учасники «Бізнес-інкубатору ТДАТУ» отримують підтримку власних бізнес-ініціатив, необхідні знання задля започаткування власної справи, розвивають вміння формувати команду та набувають здібностей лідера. <br />
Бізнес-інкубатор покликаний розвивати студентам та підприємцям-початківцям здібності, які допоможуть їм започаткувати та розвивати власну справу, навчитись формувати команду та бути справжніми лідерами своєї справи. ","м. Мелітополь, просп. Богдана Хмельницького, 18, ауд. 9236"
Київська область,,Unlimit Ukraine by European Business Association,Об'єднання підприємців,"Європейська Бізнес Асоціація ініціювала допомогу для зростання молодого українського бізнесу. Нас підтримали члени Асоціації – великі міжнародні, європейські та українські компанії і тому ми запустили проект підтримки малого бізнесу – Unlimit Ukraine.","м. Київ, Андріївський узвіз, 1A, 1-й поверх"
Донецька область,Торецьк,Торецькій міський центр зайнятості,Центри підтримки підприємництва,"Центр ровитку підприємництва надає послуги інформаційної підтримки особам, які планують започаткувати власну справу, а також діючим підприємцям.<br />
","м. Торецьк,  вул. Володимирська, 28 "
Чернівецька область,Чернівці,Чернівецька торгово-промислова палата,Торгово-промислові палати,"Сприяє розвитку зовнішньоекономічних зв'язків, експорту українських товарів та послуг, освоєнню нових форм співробітництва на внутрішньому та зовнішньому ринках. Організовує та проводить виставково-ярмаркові заходи, участь в аналогічних заходах за кордоном. Сприяє професійному навчанню та стажуванню фахівців-громадян України за кордоном.","м. Чернівці, вул. Небесної Сотні, 20"
Хмельницька область,Дунаївці,Рада підприємців Дунаєвецької міської ради,Об'єднання підприємців,Консультативно-дорадчий орган Дунаєвецької міської ради.,"м. Дунаївці, вул. Шевченка, 50"
Івано-Франківська область,Рожнів,Рада підприємців Рожнівської ОТГ,Об'єднання підприємців,Підтримка та захист інтересів підприємницьких структур.,"Косівський район, село Рожнів, вул. Героїв Небесної Сотні, 26"
Донецька область,Торецьк,"ГО ""Центр ініціатив підприємців м.Торецька""",Об'єднання підприємців,"Об'єднання підприємців на основі спільності інтересів, зокрема економічних, соціальних, культурних, екологічних та інших. Сприяння розвитку інфраструктури міста та реалізації соціальних проєктів, розвиток підприємництва та нових напрямків економіки на території міста, сприяння втіленню інвестиційних проєктів щодо створення або розширення бізнесу зі створеня нових робочих місць для громадян.","м. Торецьк, вул. Дружби, 31/5"
Івано-Франківська область,,"Ініціативна група ""Надія Долини""",Об'єднання підприємців,"Пріоритети:<br />
•	Підприємництво, стале економічне зростання та зайнятість;<br />
•	Справедливий соціальний, духовний і культурний розвиток;<br />
•	Ефективне, підзвітне та всеохопне управління в громадах краю, забезпечення принципу справедливості для всіх без винятків - закон понад усе;<br />
•	Участь жінок у процесах прийняття рішень на різних рівнях, підвищення уваги громадськості до питань різноманітності та гендеру;<br />
•	Екологічна рівновага, розбудова стійкості, всеохоплююча енергоефективність.<br />
","м. Долина, вул.8-го Березня, 35"
Тернопільська область,Заліщики,Консультативний пункт для бізнесу Заліщицької міської ради,Консультаційні та освітні центри,"Консультативним пунктом для бізнесу надається інформаційно-консультативна підтримка, допомога в підготовці установчих документів, грантових заявок; забезпечується супровід участі суб'єктів господарювання області у регіональних, державних та грантових програмах з підтримки бізнесу, а також виходу на експорт.","м. Заліщики, вул. С. Бандери, 40"
Чернігівська область,Чернігів,Агенція регіонального розвитку Чернігівської області,Агенції регіонального та місцевого розвитку,"Агенція регіонального розвитку Чернігівської області була створена в травні 2017 року. Мета агенції - підтримка розвитку підприємництва в регіоні. Створено Центр підтримки підприємництва, інновацій та стартапів Чернігівської області. З метою його успішного функціонування було розроблено та реалізовано відповідний проєкт, який був профінансований з Державного фонду регіонального розвитку.","м. Чернігів, вул. Преображенська, 12"
Івано-Франківська область,,"ГО ""Громадський центр ""Еталон"" ",Об'єднання підприємців,"Місія Громадського центру ""Еталон"": сприяти розвитку громадських ініціатив, спрямованих на зміцнення громадянського суспільства в Україні через творчу розробку і реалізацію програм та втілення міжсекторальної співпраці громадських організацій, органів влади і самоврядування, бізнесу, освіти, ЗМІ та ініціативних груп.","м. Івано-Франківськ, вул Крива, 4а"
Чернігівська область,Чернігів,Чернігівська регіональна торгово-промислова палата,Торгово-промислові палати,"Недержавна самоврядна організація, що є найбільшою бізнес-асоціацією Чернігівської області, яка надає послуги у сфері бізнес-освіти, експертиз, митного декларування, зовнішньоекономічних зв'язків тощо.","м. Чернігів, вул. Ринкова, 7"
Луганська область,Сєвєродонецьк,"ГО ""Сєвєродонецька молодіжна рада""",Об'єднання підприємців,"Організація діє в Луганській області з 2010 року. З 2017 року стала імплементатором проєкту ""Економічна підтримка постраждалим від конфлікту"", що реалізується МБФ ""Український жіночий фонд"" за підтримки USAID. З  2017 року проводимо тренінги з розвитку бізнес навичок для мешканців Луганської області, безкоштовні юридичні консультації щодо пілприємницькой діяльності, інформування щодо можливостей розвитку/започаткування власної справи.<br />
<br />
","м. Сєвєродонецьк, вул. Гагаріна, 78б"
Чернігівська область,Чернігів,"Чернігівська профспілка підприємців ""Єдність""",Об'єднання підприємців,"Обєднує підприємців для захисту своїх прав та інтересів, надає безкоштовні юридичні розяснення законодавства, аналізує проблеми мікробізнесу та намагається знаходити шляхи їх вирішення, консолідує зусілля по взаємній підтримці та співробітництву.","м. Чернігів, вул. Петра Смолічева, 12, к. 2"
Рівненська область,Рівне,Рівненська Торгово-промислова палата,Торгово-промислові палати,"Недержавна самоврядна організація, яка надає послуги у сфері зовнішньоекономічної діяльності.","м. Рівне, вул. Гетьмана Мазепи, 19"
Донецька область,Мирноград,"ГО ""Рада підприємців м. Мирноград""",Об'єднання підприємців,"Основні напрямки діяльності організації: відстоювання прав підприємців, надання консультативної-правової допомоги, інформаційне забезпечення членів організації, підвищення ефективності громадського впливу на державну стратегію розвитку виробничих сил у місті, сприяння членам організації в пошуках партнерів для створення спільних цільових підприємств.","м. Мирноград, провулок Лісний, 1"
Львівська область,Львів,"ГО ""Аналітично-адвокаційний центр ""Львівській регуляторний хаб""",Консультаційні та освітні центри,"Львівський регуляторний хаб - це аналітично-адвокаційний центр, який займається впровадженням змін у місцевому самоврядуванні через аналіз, адвокацію (просування змін) та імплементацію (реалізація змін). Команда виступає авторами багатьох аналітичних досліджень та методичних документів, які застосовуються та рекомендуються на місцевому, регіональному та центральному рівнях, приймаються міськими та обласними радами, радами об’єднаних територіальних громад. ","м. Львів, вул. Винниченка, 16"
Чернігівська область,Чернігів,"Чернігівська обласна організація підприємців-роботодавців ""Чернігівщина""",Об'єднання підприємців,,"м. Чернігів, проспект Перемоги 108, офіс 4"
Луганська область,Новоайдар,"ГО ""Союз підприємців Новоайдарського району""",Об'єднання підприємців,"Неприбуткова громадська організаця є добровільним об'єднанням фізичних осіб, створеним для задоволення та захисту прав і свобод людини та громадянина, задоволення суспільних, зокрема, економічних, соціальних, культурних, освітніх та інших інтересів своїх членів та\або інших осіб. ","Новоайдарський район, смт. Новоайдар, вул. Дружби, 2"
Чернівецька область,Чернівці,"ГО ""Буковинський центр реконструкції і розвитку""",Консультаційні та освітні центри,"Основні завдання центру:<br />
- розробка інвестиційних проєктів, бізнес-планів, проєктів транскордонного співробітництва;<br />
- реалізація проєктів, спрямованих на розвиток територіальних громад Чернівецької області;<br />
- підтримка розвитку малого та середнього бізнесу шляхом проведення тренінгів та консультацій.","м. Чернівці, вул. О. Кобилянської, 2"
Київська область,Бородянка,"Бородянська районна ГО ""Спілка підприємців та виробників Бородянщини""",Об'єднання підприємців,,"Бородянський район, смт Бородянка, вул. Вокзальна, 13, кв. 10"
Запорізька область,Пологи,ГО «Спілка підприємців Пологівського району»,Центри підтримки підприємництва,,"Пологівський р-н., м. Пологи, провулок Водопровідний, 9"
Житомирська область,Гальчин,"ГО ""Спілка приватних підприємців Андрушівщини""",Об'єднання підприємців,,"Андрушівський район, с. Гальчин, вул. Ювілейна 2, корпус А"
Сумська область,Шостка,"Бізнес-інкубатор індустріального парку ""Свема""","Коворкінги, інкубатори, акселератори","Бізнес-інкубатор Шостка - складова частина Індустріального Парку ""Свема"". Виступає як один із варіантів організаційних форм взаємодії науки і підприємництва. Надає інформаційно-рекламні послуги, послуги бізнес-планування та оцінки бізнесу. Надає в оренду приміщення, користування електронною бібліотекою, лабораторіями Шосткинського інституту СумДУ.","м. Шостка, вул. Гагаріна, 1, офіс 106 "
Сумська область,Шостка,"Коворкінг ""ІТ Центр""","Коворкінги, інкубатори, акселератори","""ІТ-центр"" — безкоштовний спільний простір для фрилансерів, яких об'єднують спільні цілі та цінності. Простір із закріпленими та незакріпленими місцями.","м. Шостка, вул. Миру, 11"
Миколаївська область,Арбузинка,"Громадська спілка ""Спілка фермерів та приватних землевласників Арбузинської ОТГ""",Об'єднання підприємців,Спілка фермерів та приватних землевласників Арбузинської ОТГ.,"Арбузинський р-н, смт Арбузинка, пров. Каштановий, 4"
Миколаївська область,Арбузинка,"ГО ""Спілка підприємців в Арбузинському районі""",Об'єднання підприємців,,"Миколаївська обл., Арбузинський р-н, смт Арбузинка, пров. Торговий, 18"
Житомирська область,Коростень,Центр підтримки підприємництва,Центри підтримки підприємництва,Консультація підприємців-початківців та діючого бізнесу.,"м. Коростень, вул. Грушевського, 20"
Житомирська область,Коростень,"ГО ""Агенція регіонального розвитку""",Агенції регіонального та місцевого розвитку,Консультативні послуги для бізнесу.,"м. Коростень, вул. Грушевського, 20"
Житомирська область,Коростень,Коростенська регіональна асоціація приватних підприємців,Об'єднання підприємців,Консультативні послуги для бізнесу.,"м. Коростень, пров. Миколи Лисенка, 4 (кол. назва - пров. 2 К.Лібкнехта)"
Житомирська область,Коростень,"ГО ""Рада підприємців міста Коростеня""",Об'єднання підприємців,Консультативні послуги для бізнесу.,"м. Коростень, вул. Грушевського, 22, каб. 2"
Житомирська область,Коростень,"ГО ""Асоціація ""Рада керівників підприємств та організацій міста Коростеня Житомирської області""",Об'єднання підприємців,Консультативні послуги для бізнесу.,"м. Коростень, вул. Грушевського, 22, каб. 2"
Сумська область,Охтирка,"Охтирська міська організація роботодавців ""ДІАЛОГ""",Об'єднання підприємців,,"м. Охтирка, пров. Тельмана, 21"
Сумська область,Охтирка,Охтирська профспілка працівників кооперації та інших форм підприємництва,Об'єднання підприємців,,"м. Охтирка, вул. Незалежності, 28"
Сумська область,Охтирка,Охтирська міська організація підприємців малого та середнього бізнесу,Об'єднання підприємців,,"м. Охтирка, вул. Сумська, 28"
Івано-Франківська область,Тлумач,"Фонд підтримки підприємництва ""Тлумацький бізнес-центр""",Фонди підтримки підприємництва,,"м. Тлумач, вул. Макуха, 12"
Київська область,Біла Церква,Білоцерківський інноваційний бізнес-інкубатор,"Коворкінги, інкубатори, акселератори",,"Київська обл., м. Біла Церква, вул. Ярослава Мудрого, 38/12"
Київська область,Біла Церква,Товариство з обмеженою відповідальністю «БЦ ТЕХНОПАРК» ,Технологічні та інноваційні парки,,"Київська область, м. Біла Церква, вул. Леваневського, 87"
Київська область,,ГО «Фонд підтримки підприємництва Бориспільського району»,Фонди підтримки підприємництва,,"Київська область, Бориспільський район, с. Щасливе, вул. Героїв Майдану, 20-г"
Київська область,Вишгород,Київський обласний державно-комунальний фонд підтримки підприємництва ,Фонди підтримки підприємництва,,"Київська обл., м. Вишгород, пл. Шевченка, 1"
Київська область,Ірпінь,Ірпінський міський фонд підтримки підприємництва,Фонди підтримки підприємництва,,"Київська область, м. Ірпінь, вул. Шевченка, 2-а"
Київська область,Славутич,Славутицький міський фонд підтримки підприємництва,Фонди підтримки підприємництва,,"Київська область, м. Славутич, проспект Дружби Народів, 7"
Київська область,Фастів,"ГО ""Фастівський центр підтримки підприємництва"" ",Центри підтримки підприємництва,,"Київська обл., м. Фастів, вул. Шевченка, 27, кім. 1 "
Київська область,,"ТОВ ""Промислово-технологічний парк Київщина"" ",Технологічні та інноваційні парки,,"Київська обл., с. Нові Петрівці, вул. Ватутіна, 34"
Київська область,,ТОВ «Індустріальний парк «Біла Церква 1»,Індустріальні парки,,"м. Київ, вул. Лаврська, 20, каб.137"
Київська область,,ТОІВ «Індустріальний парк «Біла Церква 2»,Індустріальні парки,,"м. Київ, вул. Лаврська, 20, каб.137"
Київська область,Фастів,"Індустріальний парк ""FastIndustry""",Індустріальні парки,,"м. Фастів, вул. Поліграфічна, 16"
Київська область,Обухів,"Київська обласна організація всеукраїнської асоціації жінок-підприємиць ""Жіночий альянс""",Об'єднання підприємців,,"м. Обухів, вул. Каштанова, 3"
Київська область,Біла Церква,Асоціація фермерів та приватних землевласників Білоцерківського району,Об'єднання підприємців,,"м. Біла Церква, вул. Леся Курбаса, 8"
Київська область,Калинівка,"ГО ""Об'єднання підприємців Калинівки""",Об'єднання підприємців,,"Васильківський район, смт Калинівка, вул. Леніна, 57"
Київська область,Володарка,"ГО ""Асоціація фермерів Володарського району""",Об'єднання підприємців,,"Володарський район, смт Володарка, вул. 1 травня, 24"
Київська область,Іванків,"ГО ""Центр сприяння економічного розвитку Іванківського району""",Центри підтримки підприємництва,,"Іванківський район, смт Іванків, вул. Розважівська, 5, к. 80"
Київська область,Тараща,Таращанська міська організація професійної спілки працівників сфери підприємництва,Об'єднання підприємців,,"Таращанський район, м. Тараща, вул. Чкалова, 10"
Київська область,Тараща,Асоціація фермерів та приватних землевласників,Об'єднання підприємців,,"Таращанський район, м. Тараща, вул. Білоцерківська, 61 А"
Київська область,Біла Церква,"ГО ""Білоцерківський центр громадських ініціатив""",Об'єднання підприємців,,"м. Біла Церква, вул. Некрасова, 12 А, 159"
Київська область,Біла Церква,"ГО ""Асоціація малого та середнього бізнесу міста Біла Церква та регіону""",Об'єднання підприємців,,"м. Біла Церква, вул. Олеся Гончара, 1/42"
Київська область,Біла Церква,"ГО ""Бізнес клуб ""Інлідер""",Об'єднання підприємців,,"м. Біла Церква, вул. Леваневського, 56 А, к. 154"
Київська область,Бориспіль,"Бориспільська спілка підприємців та підприємств малого, середнього бізнесу",Об'єднання підприємців,,"м. Бориспіль, вул. Дзержинського, 1"
Київська область,Бориспіль,Бориспільська міська організація Українського союзу промисловців і підприємців,Об'єднання підприємців,,"м. Бориспіль, вул. Київський шлях, 2"
Київська область,Бориспіль,"Бориспільська міська організація ""Орендарів, підприємців і работодавців""",Об'єднання підприємців,,"м. Бориспіль, вул. Київський шлях, 10"
Київська область,Бориспіль,"ГО ""Ліга підприємців Борисполя""",Об'єднання підприємців,,"м. Бориспіль, вул. Горького, 44, к. 43"
Київська область,Бориспіль,"ГО ""Промисловий союз ""Європейський вибір""",Об'єднання підприємців,,"м. Бориспіль, вул. Головатого, 18"
Київська область,Фастів,Спілка підприємців м. Фастова,Об'єднання підприємців,,"м. Фастів, вул. Дімітрова, 38"
Київська область,Фастів,Промислово-логістичний кластер «FastIV»,Кластери,,"м. Фастів, площа Соборна, 1"
Київська область,Славутич,"КП ""Агентство регіонального розвитку"" Славутицької міської ради",Агенції регіонального та місцевого розвитку,,"м. Славутич, Центральна площа, 5"
Київська область,Біла Церква,"КП Білоцерківської міської ради ""Агенція стратегічного розвитку Білої Церкви""",Агенції регіонального та місцевого розвитку,,"м. Біла Церква, вул. Томилівська, 69"
Київська область,,"Установа ""Агенція регіонального розвитку Київської області""",Агенції регіонального та місцевого розвитку,"Агенція регіонального розвитку Київської області утворена з метою залучення інвестицій, створення нових робочих місць та підвищення конкурентоспроможності економіки регіону. Основними завданнями АРР є: підготовка для інвесторів проєктів під «ключ», супроводження інвестиційних проєктів у процесі їх реалізації, організація роботи з інвесторами за принципом «Єдиного інвестиційного вікна», формування позитивного іміджу та бренду Київської області для залучення інвесторів та інше.","м. Київ, площа Лесі Українки, 1"
