oblast,city,center,link
Закарпатська область,смт. Ясіня,Креденц,https://youthcenters.net.ua/kredents/
Закарпатська область,м. Перечин,"Молодіжний хаб ""Хижа""",https://youthcenters.net.ua/molodigniy-hab-higa/
Закарпатська область,с. Довге,Довге Хаб,https://youthcenters.net.ua/dovge-hab/
Запорізька область,Запоріжжя,Запорізький обласний центр молоді,https://youthcenters.net.ua/zaporizkiy-oblasniy-tsentr-molodi/
Запорізька область,Запоріжжя,Спільно HUB,https://youthcenters.net.ua/spilno-hub/
Запорізька область,Запоріжжя,Hub UHO,https://youthcenters.net.ua/hub-uho/
Запорізька область,Енергодар,FreeDom,https://youthcenters.net.ua/freedom/
Запорізька область,с.Широке,Space,https://youthcenters.net.ua/space/
Запорізька область,Приморськ,"Молодіжний центр ""Портал""",https://youthcenters.net.ua/molodigniy-tsentr-portal/
Запорізька область,Бердянськ,"Хаб ""Маяк""",https://youthcenters.net.ua/hab-mayak/
Запорізька область,смт. Комиш-Зоря,"Молодіжний хаб ""TalkHub""",https://youthcenters.net.ua/molodigniy-hab-talkhub/
Запорізька область,Мелітополь,"Простір для дітей, сім""ї та молоді",https://youthcenters.net.ua/prostir-dlya-ditey-sim-i-ta-molodi/
Запорізька область,Мелітополь,"Молодіжний центр ""People.ua""",https://youthcenters.net.ua/molodigniy-tsentr-people-ua/
Запорізька область,Остриківська ОТГ,Молодіжний хаб Остриківської ОТГ,https://youthcenters.net.ua/molodigniy-hab-ostrikivskoi-otg/
Запорізька область,смт. Якимівка,FreeDom Hub,https://youthcenters.net.ua/freedom-hub/
Запорізька область,смт. Чернігівка,"Бібліохаб ""ХАБ·Л""",https://youthcenters.net.ua/bibliohab-hab-l/
Івано-Франківська область,Івано-Франківськ,Молодіжний центр Paragraph,https://youthcenters.net.ua/paragraph/
Івано-Франківська область,Івано-Франківськ,Івано-Франківський обласний пластовий центр,https://youthcenters.net.ua/ivano-frankivskiy-oblasniy-plastoviy-tsentr/
Івано-Франківська область,Рогатин,Рогатинський молодіжний пластовий центр,https://youthcenters.net.ua/rogatinskiy-molodigniy-plastoviy-tsentr/
Івано-Франківська область,Городенка,Молодіжний центр Городенківщини,https://youthcenters.net.ua/molodigniy-tsentr-gorodenkivshchini/
Івано-Франківська область,Калуш,"Центр громадських ініціатив ""Вільний простір""",https://youthcenters.net.ua/tsentr-gromadskih-initsiativ-vilniy-prostir/
Івано-Франківська область,Верховина,Думка,https://youthcenters.net.ua/dumka/
Івано-Франківська область,с.Витвиця,СІЧ Сильні Ідейні Чесні,https://youthcenters.net.ua/sich-silni-ideyni-chesni/
Івано-Франківська область,с.Надорожна,Громадський простір с.Надорожна,https://youthcenters.net.ua/gromadskiy-prostir-s-nadorogna/
Івано-Франківська область,с. Верхній Вербіж,"""Центр соціального розвитку та підтримки"" Нижньовербізької ОТГ",https://youthcenters.net.ua/tsentr-sotsialnogo-rozvitku-ta-pidtrimki-nignoverbizkoi-otg/
Івано-Франківська область,Старобогородчанська ОТГ,#StBogoHub,https://youthcenters.net.ua/stbogohub/
Івано-Франківська область,Дзвиняцька ОТГ,Комора,https://youthcenters.net.ua/komora/
Івано-Франківська область,смт. Печеніжин,"Громадський простір ""Liberty Space""",https://youthcenters.net.ua/gromadskiy-prostir-liberty-space/
Івано-Франківська область,Надвірна,Молодіжний простір у Юнацькій бібліотеці,https://youthcenters.net.ua/molodigniy-prostir-u-yunatskiy-bibliotetsi/
Кропивницька область,Кропивницький,Креативний простір KOWO,https://youthcenters.net.ua/kreativniy-prostir-kowo/
Кропивницька область,Кропивницький,Молодіжний центр Кіровоградської області,https://youthcenters.net.ua/molodigniy-tsentr-kirovogradskoi-oblasti/
Кропивницька область,Кропивницький,"Молодіжний простір ""Дієво""",https://youthcenters.net.ua/molodigniy-prostir-dievo/
Кропивницька область,Кропивницький,"Центр молоді з інвалідністю ""Сильні духом""",https://youthcenters.net.ua/tsentr-molodi-z-invalidnistyu-silni-duhom/
Кропивницька область,с. Дмитрівка,"Молодіжний простір ""Youth Space""",https://youthcenters.net.ua/molodigniy-prostir-youth-space/
Кропивницька область,смт. Нова Прага,Молодіжний АРТ-центр,https://youthcenters.net.ua/molodigniy-art-tsentr/
Луганська область,Сєверодонецьк,"Громадський майданчик ""ХочуБуду""",https://youthcenters.net.ua/gromadskiy-maydanchik-hochubudu/
Луганська область,Сєверодонецьк,Луганський обласний центр підтримки молодіжних ініціатив та соціальних досліджень,https://youthcenters.net.ua/luganskiy-oblasniy-molodigniy-tsentr/
Луганська область,Сєверодонецьк,"""Інклюзивний молодіжний хаб"" (Сєвєродонецьк), БО""БФ""Карітас Сєвєродонецьк"".",https://youthcenters.net.ua/inklyuzivniy-molodigniy-hab-severodonetsk-bo-bf-karitas-severodonetsk/
Луганська область,Сєверодонецьк,"Дитячий центр соціально-психологічної підтримки ""Генерація UA""",https://youthcenters.net.ua/dityachiy-tsentr-sotsialno-psihologichnoi-pidtrimki-generatsiya-ua/
Луганська область,Сєверодонецьк,"Студентський простір ""YO!Гурт""",https://youthcenters.net.ua/studentskiy-prostir-yo-gurt/
Луганська область,Сєверодонецьк,"Центр розвитку молоді ""Sever HUB""",https://youthcenters.net.ua/tsentr-rozvitku-molodi-sever-hub/
Луганська область,Лисичанськ,FoxHab,https://youthcenters.net.ua/foxhab/
Луганська область,Лисичанськ,BIBLIO HUB,https://youthcenters.net.ua/biblio-hub/
Луганська область,Лисичанськ,Молодіжний медіа-хаб «FREEDOMHUB»,https://youthcenters.net.ua/freedom-hub-1/
Луганська область,Лисичанськ,GENERATION CENTER HUB,https://youthcenters.net.ua/generation-center-hub/
Луганська область,Лисичанськ,"Молодіжний центр ""Druzi_hub""",https://youthcenters.net.ua/molodigniy-tsentr-druzi-hub/
Луганська область,Лисичанськ,Центр урбан культур «Дружба»,https://youthcenters.net.ua/tsentr-urban-kultur-drugba/
Луганська область,Новопсков,"Молодіжний центр ""Vektor"" Новопсковської центральної районної бібліотеки",https://youthcenters.net.ua/molodigniy-tsentr-vektor-novopskovskoi-tsentralnoi-rayonnoi-biblioteki/
Луганська область,смт Станиця Луганська,"""МОЯ Станица HUB""",https://youthcenters.net.ua/moya-stanitsa-hub/
Луганська область,Сватово,Сватівський районний молодіжний центр,https://youthcenters.net.ua/svativskiy-rayonniy-molodigniy-tsentr/
Луганська область,Сватово,"Молодіжний центр ""Ліфт""",https://youthcenters.net.ua/molodigniy-tsentr-lift/
Луганська область,Рубіжне,Громадський Дім,https://youthcenters.net.ua/gromadskiy-dim/
Луганська область,Старобільськ,"Молодіжний хаб ""INVENTORS""",https://youthcenters.net.ua/molodigniy-hab-inventors/
Луганська область,с. Кризьке,"Молодіжна платформа ""Вільний простір""",https://youthcenters.net.ua/molodigna-platforma-vilniy-prostir/
Луганська область,смт Борівське,"Молодіжний центр ""Твій вибір""",https://youthcenters.net.ua/molodigniy-tsentr-tviy-vibir/
Луганська область,смт Комишуваха,New Generation,https://youthcenters.net.ua/new-generation/
Львівська область,Львів,"КЗ ""Львівський обласний молодіжний центр""",https://youthcenters.net.ua/lvivskiy-oblasniy-molodigniy-tsentr/
Львівська область,Львів,Львівський обласний пластовий центр,https://youthcenters.net.ua/kz-lor-lvivskiy-oblasniy-plastoviy-tsentr/
Львівська область,Львів,"Молодіжний центр ""Нові Орбіти"" (КМЦ ""Супутник"")",https://youthcenters.net.ua/suputnik/
Львівська область,Львів,"МолоДвіж Центр (КУ ""Львівський міський молодіжний центр"")",https://youthcenters.net.ua/molodvig-tsentr-ku-lvivskiy-miskiy-molodigniy-tsentr/
Львівська область,Львів,Центр YMCA міста Львова,https://youthcenters.net.ua/tsentr-ymca-mista-lvova/
Львівська область,Львів,"Lviv Open Lab (КУ ""Львівський міський молодіжний центр"")",https://youthcenters.net.ua/lviv-open-lab/
Львівська область,Пустомити,Молодіжний Центр Птах,https://youthcenters.net.ua/molodigniy-tsentr-ptah/
Львівська область,Пустомити,"Молодіжний простір ""Білка""",https://youthcenters.net.ua/molodigniy-prostir-bilka/
